ID_PROJECT,D01_VPD
ID_BATCH,ALPHA_LOT1
ID_WAFER,126995-075SU
WAFER_ROTATION,-90
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,
LINES_DATA,312
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
DD,42A,0.1775,10.85,0.1775,10.85,0.25,1.05,D01
DD,41A,0.4275,10.85,0.4275,10.85,0.25,1.05,D01
DD,40A,0.6775,10.85,0.6775,10.85,0.25,1.05,D01
DD,39A,0.9275,10.85,0.9275,10.85,0.25,1.05,D01
DD,38A,1.1775,10.85,1.1775,10.85,0.25,1.05,D01
DD,37A,1.4275,10.85,1.4275,10.85,0.25,1.05,D01
DD,36A,1.6775,10.85,1.6775,10.85,0.25,1.05,D01
DD,35A,1.9275,10.85,1.9275,10.85,0.25,1.05,D01
DD,34A,2.1775,10.85,2.1775,10.85,0.25,1.05,D01
DD,33A,2.4275,10.85,2.4275,10.85,0.25,1.05,D01
DD,32A,2.6775,10.85,2.6775,10.85,0.25,1.05,D01
DD,31A,2.9275,10.85,2.9275,10.85,0.25,1.05,D01
DD,30A,3.1775,10.85,3.1775,10.85,0.25,1.05,D01
DD,29A,3.4275,10.85,3.4275,10.85,0.25,1.05,D01
DD,28A,3.6775,10.85,3.6775,10.85,0.25,1.05,D01
DD,27A,3.9275,10.85,3.9275,10.85,0.25,1.05,D01
DD,26A,4.1775,10.85,4.1775,10.85,0.25,1.05,D01
DD,25A,4.4275,10.85,4.4275,10.85,0.25,1.05,D01
DD,24A,4.6775,10.85,4.6775,10.85,0.25,1.05,D01
DD,23A,4.9275,10.85,4.9275,10.85,0.25,1.05,D01
DD,22A,5.1775,10.85,5.1775,10.85,0.25,1.05,D01
DD,21A,5.4275,10.85,5.4275,10.85,0.25,1.05,D01
DD,20A,5.6775,10.85,5.6775,10.85,0.25,1.05,D01
DD,19A,5.9275,10.85,5.9275,10.85,0.25,1.05,D01
DD,18A,6.1775,10.85,6.1775,10.85,0.25,1.05,D01
DD,17A,6.4275,10.85,6.4275,10.85,0.25,1.05,D01
DD,16A,6.6775,10.85,6.6775,10.85,0.25,1.05,D01
DD,15A,6.9275,10.85,6.9275,10.85,0.25,1.05,D01
DD,14A,7.1775,10.85,7.1775,10.85,0.25,1.05,D01
DD,13A,7.4275,10.85,7.4275,10.85,0.25,1.05,D01
DD,12A,7.6775,10.85,7.6775,10.85,0.25,1.05,D01
DD,11A,7.9275,10.85,7.9275,10.85,0.25,1.05,D01
DD,10A,8.1775,10.85,8.1775,10.85,0.25,1.05,D01
DD,09A,8.4275,10.85,8.4275,10.85,0.25,1.05,D01
DD,08A,8.6775,10.85,8.6775,10.85,0.25,1.05,D01
DD,07A,8.9275,10.85,8.9275,10.85,0.25,1.05,D01
DD,06A,9.1775,10.85,9.1775,10.85,0.25,1.05,D01
DD,05A,9.4275,10.85,9.4275,10.85,0.25,1.05,D01
DD,04A,9.6775,10.85,9.6775,10.85,0.25,1.05,D01
DD,04B,9.6775,9.8,9.6775,9.8,0.25,1.05,D01
DD,05B,9.4275,9.8,9.4275,9.8,0.25,1.05,D01
DD,06B,9.1775,9.8,9.1775,9.8,0.25,1.05,D01
DD,07B,8.9275,9.8,8.9275,9.8,0.25,1.05,D01
DD,08B,8.6775,9.8,8.6775,9.8,0.25,1.05,D01
DD,09B,8.4275,9.8,8.4275,9.8,0.25,1.05,D01
DD,10B,8.1775,9.8,8.1775,9.8,0.25,1.05,D01
DD,11B,7.9275,9.8,7.9275,9.8,0.25,1.05,D01
DD,12B,7.6775,9.8,7.6775,9.8,0.25,1.05,D01
DD,13B,7.4275,9.8,7.4275,9.8,0.25,1.05,D01
DD,14B,7.1775,9.8,7.1775,9.8,0.25,1.05,D01
DD,15B,6.9275,9.8,6.9275,9.8,0.25,1.05,D01
DD,16B,6.6775,9.8,6.6775,9.8,0.25,1.05,D01
DD,17B,6.4275,9.8,6.4275,9.8,0.25,1.05,D01
DD,18B,6.1775,9.8,6.1775,9.8,0.25,1.05,D01
DD,19B,5.9275,9.8,5.9275,9.8,0.25,1.05,D01
DD,20B,5.6775,9.8,5.6775,9.8,0.25,1.05,D01
DD,21B,5.4275,9.8,5.4275,9.8,0.25,1.05,D01
DD,22B,5.1775,9.8,5.1775,9.8,0.25,1.05,D01
DD,23B,4.9275,9.8,4.9275,9.8,0.25,1.05,D01
DD,24B,4.6775,9.8,4.6775,9.8,0.25,1.05,D01
DD,25B,4.4275,9.8,4.4275,9.8,0.25,1.05,D01
DD,26B,4.1775,9.8,4.1775,9.8,0.25,1.05,D01
DD,27B,3.9275,9.8,3.9275,9.8,0.25,1.05,D01
DD,28B,3.6775,9.8,3.6775,9.8,0.25,1.05,D01
DD,29B,3.4275,9.8,3.4275,9.8,0.25,1.05,D01
DD,30B,3.1775,9.8,3.1775,9.8,0.25,1.05,D01
DD,31B,2.9275,9.8,2.9275,9.8,0.25,1.05,D01
DD,32B,2.6775,9.8,2.6775,9.8,0.25,1.05,D01
DD,33B,2.4275,9.8,2.4275,9.8,0.25,1.05,D01
DD,34B,2.1775,9.8,2.1775,9.8,0.25,1.05,D01
DD,35B,1.9275,9.8,1.9275,9.8,0.25,1.05,D01
DD,36B,1.6775,9.8,1.6775,9.8,0.25,1.05,D01
DD,37B,1.4275,9.8,1.4275,9.8,0.25,1.05,D01
DD,38B,1.1775,9.8,1.1775,9.8,0.25,1.05,D01
DD,39B,0.9275,9.8,0.9275,9.8,0.25,1.05,D01
DD,40B,0.6775,9.8,0.6775,9.8,0.25,1.05,D01
DD,41B,0.4275,9.8,0.4275,9.8,0.25,1.05,D01
DD,42B,0.1775,9.8,0.1775,9.8,0.25,1.05,D01
DD,42C,0.1775,8.75,0.1775,8.75,0.25,1.05,D01
DD,41C,0.4275,8.75,0.4275,8.75,0.25,1.05,D01
DD,40C,0.6775,8.75,0.6775,8.75,0.25,1.05,D01
DD,39C,0.9275,8.75,0.9275,8.75,0.25,1.05,D01
DD,38C,1.1775,8.75,1.1775,8.75,0.25,1.05,D01
DD,37C,1.4275,8.75,1.4275,8.75,0.25,1.05,D01
DD,36C,1.6775,8.75,1.6775,8.75,0.25,1.05,D01
DD,35C,1.9275,8.75,1.9275,8.75,0.25,1.05,D01
DD,34C,2.1775,8.75,2.1775,8.75,0.25,1.05,D01
DD,33C,2.4275,8.75,2.4275,8.75,0.25,1.05,D01
DD,32C,2.6775,8.75,2.6775,8.75,0.25,1.05,D01
DD,31C,2.9275,8.75,2.9275,8.75,0.25,1.05,D01
DD,30C,3.1775,8.75,3.1775,8.75,0.25,1.05,D01
DD,29C,3.4275,8.75,3.4275,8.75,0.25,1.05,D01
DD,28C,3.6775,8.75,3.6775,8.75,0.25,1.05,D01
DD,27C,3.9275,8.75,3.9275,8.75,0.25,1.05,D01
DD,26C,4.1775,8.75,4.1775,8.75,0.25,1.05,D01
DD,25C,4.4275,8.75,4.4275,8.75,0.25,1.05,D01
DD,24C,4.6775,8.75,4.6775,8.75,0.25,1.05,D01
DD,23C,4.9275,8.75,4.9275,8.75,0.25,1.05,D01
DD,22C,5.1775,8.75,5.1775,8.75,0.25,1.05,D01
DD,21C,5.4275,8.75,5.4275,8.75,0.25,1.05,D01
DD,20C,5.6775,8.75,5.6775,8.75,0.25,1.05,D01
DD,19C,5.9275,8.75,5.9275,8.75,0.25,1.05,D01
DD,18C,6.1775,8.75,6.1775,8.75,0.25,1.05,D01
DD,17C,6.4275,8.75,6.4275,8.75,0.25,1.05,D01
DD,16C,6.6775,8.75,6.6775,8.75,0.25,1.05,D01
DD,15C,6.9275,8.75,6.9275,8.75,0.25,1.05,D01
DD,14C,7.1775,8.75,7.1775,8.75,0.25,1.05,D01
DD,13C,7.4275,8.75,7.4275,8.75,0.25,1.05,D01
DD,12C,7.6775,8.75,7.6775,8.75,0.25,1.05,D01
DD,11C,7.9275,8.75,7.9275,8.75,0.25,1.05,D01
DD,10C,8.1775,8.75,8.1775,8.75,0.25,1.05,D01
DD,09C,8.4275,8.75,8.4275,8.75,0.25,1.05,D01
DD,08C,8.6775,8.75,8.6775,8.75,0.25,1.05,D01
DD,07C,8.9275,8.75,8.9275,8.75,0.25,1.05,D01
DD,06C,9.1775,8.75,9.1775,8.75,0.25,1.05,D01
DD,05C,9.4275,8.75,9.4275,8.75,0.25,1.05,D01
DD,04C,9.6775,8.75,9.6775,8.75,0.25,1.05,D01
DD,04D,9.6775,7.7,9.6775,7.7,0.25,1.05,D01
DD,05D,9.4275,7.7,9.4275,7.7,0.25,1.05,D01
DD,06D,9.1775,7.7,9.1775,7.7,0.25,1.05,D01
DD,07D,8.9275,7.7,8.9275,7.7,0.25,1.05,D01
DD,08D,8.6775,7.7,8.6775,7.7,0.25,1.05,D01
DD,09D,8.4275,7.7,8.4275,7.7,0.25,1.05,D01
DD,10D,8.1775,7.7,8.1775,7.7,0.25,1.05,D01
DD,11D,7.9275,7.7,7.9275,7.7,0.25,1.05,D01
DD,12D,7.6775,7.7,7.6775,7.7,0.25,1.05,D01
DD,13D,7.4275,7.7,7.4275,7.7,0.25,1.05,D01
DD,14D,7.1775,7.7,7.1775,7.7,0.25,1.05,D01
DD,15D,6.9275,7.7,6.9275,7.7,0.25,1.05,D01
DD,16D,6.6775,7.7,6.6775,7.7,0.25,1.05,D01
DD,17D,6.4275,7.7,6.4275,7.7,0.25,1.05,D01
DD,18D,6.1775,7.7,6.1775,7.7,0.25,1.05,D01
DD,19D,5.9275,7.7,5.9275,7.7,0.25,1.05,D01
DD,20D,5.6775,7.7,5.6775,7.7,0.25,1.05,D01
DD,21D,5.4275,7.7,5.4275,7.7,0.25,1.05,D01
DD,22D,5.1775,7.7,5.1775,7.7,0.25,1.05,D01
DD,23D,4.9275,7.7,4.9275,7.7,0.25,1.05,D01
DD,24D,4.6775,7.7,4.6775,7.7,0.25,1.05,D01
DD,25D,4.4275,7.7,4.4275,7.7,0.25,1.05,D01
DD,26D,4.1775,7.7,4.1775,7.7,0.25,1.05,D01
DD,27D,3.9275,7.7,3.9275,7.7,0.25,1.05,D01
DD,28D,3.6775,7.7,3.6775,7.7,0.25,1.05,D01
DD,29D,3.4275,7.7,3.4275,7.7,0.25,1.05,D01
DD,30D,3.1775,7.7,3.1775,7.7,0.25,1.05,D01
DD,31D,2.9275,7.7,2.9275,7.7,0.25,1.05,D01
DD,32D,2.6775,7.7,2.6775,7.7,0.25,1.05,D01
DD,33D,2.4275,7.7,2.4275,7.7,0.25,1.05,D01
DD,34D,2.1775,7.7,2.1775,7.7,0.25,1.05,D01
DD,35D,1.9275,7.7,1.9275,7.7,0.25,1.05,D01
DD,36D,1.6775,7.7,1.6775,7.7,0.25,1.05,D01
DD,37D,1.4275,7.7,1.4275,7.7,0.25,1.05,D01
DD,38D,1.1775,7.7,1.1775,7.7,0.25,1.05,D01
DD,39D,0.9275,7.7,0.9275,7.7,0.25,1.05,D01
DD,40D,0.6775,7.7,0.6775,7.7,0.25,1.05,D01
DD,41D,0.4275,7.7,0.4275,7.7,0.25,1.05,D01
DD,42D,0.1775,7.7,0.1775,7.7,0.25,1.05,D01
DD,40E,0.6775,6.65,0.6775,6.65,0.25,1.05,D01
DD,39E,0.9275,6.65,0.9275,6.65,0.25,1.05,D01
DD,38E,1.1775,6.65,1.1775,6.65,0.25,1.05,D01
DD,37E,1.4275,6.65,1.4275,6.65,0.25,1.05,D01
DD,36E,1.6775,6.65,1.6775,6.65,0.25,1.05,D01
DD,35E,1.9275,6.65,1.9275,6.65,0.25,1.05,D01
DD,34E,2.1775,6.65,2.1775,6.65,0.25,1.05,D01
DD,33E,2.4275,6.65,2.4275,6.65,0.25,1.05,D01
DD,32E,2.6775,6.65,2.6775,6.65,0.25,1.05,D01
DD,31E,2.9275,6.65,2.9275,6.65,0.25,1.05,D01
DD,28E,3.6775,6.65,3.6775,6.65,0.25,1.05,D01
DD,27E,3.9275,6.65,3.9275,6.65,0.25,1.05,D01
DD,26E,4.1775,6.65,4.1775,6.65,0.25,1.05,D01
DD,25E,4.4275,6.65,4.4275,6.65,0.25,1.05,D01
DD,24E,4.6775,6.65,4.6775,6.65,0.25,1.05,D01
DD,23E,4.9275,6.65,4.9275,6.65,0.25,1.05,D01
DD,22E,5.1775,6.65,5.1775,6.65,0.25,1.05,D01
DD,21E,5.4275,6.65,5.4275,6.65,0.25,1.05,D01
DD,20E,5.6775,6.65,5.6775,6.65,0.25,1.05,D01
DD,19E,5.9275,6.65,5.9275,6.65,0.25,1.05,D01
DD,16E,6.6775,6.65,6.6775,6.65,0.25,1.05,D01
DD,15E,6.9275,6.65,6.9275,6.65,0.25,1.05,D01
DD,14E,7.1775,6.65,7.1775,6.65,0.25,1.05,D01
DD,13E,7.4275,6.65,7.4275,6.65,0.25,1.05,D01
DD,12E,7.6775,6.65,7.6775,6.65,0.25,1.05,D01
DD,11E,7.9275,6.65,7.9275,6.65,0.25,1.05,D01
DD,11F,7.9275,5.6,7.9275,5.6,0.25,1.05,D01
DD,12F,7.6775,5.6,7.6775,5.6,0.25,1.05,D01
DD,13F,7.4275,5.6,7.4275,5.6,0.25,1.05,D01
DD,14F,7.1775,5.6,7.1775,5.6,0.25,1.05,D01
DD,15F,6.9275,5.6,6.9275,5.6,0.25,1.05,D01
DD,16F,6.6775,5.6,6.6775,5.6,0.25,1.05,D01
DD,19F,5.9275,5.6,5.9275,5.6,0.25,1.05,D01
DD,20F,5.6775,5.6,5.6775,5.6,0.25,1.05,D01
DD,21F,5.4275,5.6,5.4275,5.6,0.25,1.05,D01
DD,22F,5.1775,5.6,5.1775,5.6,0.25,1.05,D01
DD,23F,4.9275,5.6,4.9275,5.6,0.25,1.05,D01
DD,24F,4.6775,5.6,4.6775,5.6,0.25,1.05,D01
DD,25F,4.4275,5.6,4.4275,5.6,0.25,1.05,D01
DD,26F,4.1775,5.6,4.1775,5.6,0.25,1.05,D01
DD,27F,3.9275,5.6,3.9275,5.6,0.25,1.05,D01
DD,28F,3.6775,5.6,3.6775,5.6,0.25,1.05,D01
DD,31F,2.9275,5.6,2.9275,5.6,0.25,1.05,D01
DD,32F,2.6775,5.6,2.6775,5.6,0.25,1.05,D01
DD,33F,2.4275,5.6,2.4275,5.6,0.25,1.05,D01
DD,34F,2.1775,5.6,2.1775,5.6,0.25,1.05,D01
DD,35F,1.9275,5.6,1.9275,5.6,0.25,1.05,D01
DD,36F,1.6775,5.6,1.6775,5.6,0.25,1.05,D01
DD,37F,1.4275,5.6,1.4275,5.6,0.25,1.05,D01
DD,38F,1.1775,5.6,1.1775,5.6,0.25,1.05,D01
DD,39F,0.9275,5.6,0.9275,5.6,0.25,1.05,D01
DD,40F,0.6775,5.6,0.6775,5.6,0.25,1.05,D01
DD,40G,0.6775,4.55,0.6775,4.55,0.25,1.05,D01
DD,39G,0.9275,4.55,0.9275,4.55,0.25,1.05,D01
DD,38G,1.1775,4.55,1.1775,4.55,0.25,1.05,D01
DD,37G,1.4275,4.55,1.4275,4.55,0.25,1.05,D01
DD,36G,1.6775,4.55,1.6775,4.55,0.25,1.05,D01
DD,35G,1.9275,4.55,1.9275,4.55,0.25,1.05,D01
DD,34G,2.1775,4.55,2.1775,4.55,0.25,1.05,D01
DD,33G,2.4275,4.55,2.4275,4.55,0.25,1.05,D01
DD,32G,2.6775,4.55,2.6775,4.55,0.25,1.05,D01
DD,31G,2.9275,4.55,2.9275,4.55,0.25,1.05,D01
DD,28G,3.6775,4.55,3.6775,4.55,0.25,1.05,D01
DD,27G,3.9275,4.55,3.9275,4.55,0.25,1.05,D01
DD,26G,4.1775,4.55,4.1775,4.55,0.25,1.05,D01
DD,25G,4.4275,4.55,4.4275,4.55,0.25,1.05,D01
DD,24G,4.6775,4.55,4.6775,4.55,0.25,1.05,D01
DD,23G,4.9275,4.55,4.9275,4.55,0.25,1.05,D01
DD,22G,5.1775,4.55,5.1775,4.55,0.25,1.05,D01
DD,21G,5.4275,4.55,5.4275,4.55,0.25,1.05,D01
DD,20G,5.6775,4.55,5.6775,4.55,0.25,1.05,D01
DD,19G,5.9275,4.55,5.9275,4.55,0.25,1.05,D01
DD,16G,6.6775,4.55,6.6775,4.55,0.25,1.05,D01
DD,15G,6.9275,4.55,6.9275,4.55,0.25,1.05,D01
DD,14G,7.1775,4.55,7.1775,4.55,0.25,1.05,D01
DD,13G,7.4275,4.55,7.4275,4.55,0.25,1.05,D01
DD,12G,7.6775,4.55,7.6775,4.55,0.25,1.05,D01
DD,11G,7.9275,4.55,7.9275,4.55,0.25,1.05,D01
DD,11H,7.9275,3.5,7.9275,3.5,0.25,1.05,D01
DD,12H,7.6775,3.5,7.6775,3.5,0.25,1.05,D01
DD,13H,7.4275,3.5,7.4275,3.5,0.25,1.05,D01
DD,14H,7.1775,3.5,7.1775,3.5,0.25,1.05,D01
DD,15H,6.9275,3.5,6.9275,3.5,0.25,1.05,D01
DD,16H,6.6775,3.5,6.6775,3.5,0.25,1.05,D01
DD,19H,5.9275,3.5,5.9275,3.5,0.25,1.05,D01
DD,20H,5.6775,3.5,5.6775,3.5,0.25,1.05,D01
DD,21H,5.4275,3.5,5.4275,3.5,0.25,1.05,D01
DD,22H,5.1775,3.5,5.1775,3.5,0.25,1.05,D01
DD,23H,4.9275,3.5,4.9275,3.5,0.25,1.05,D01
DD,24H,4.6775,3.5,4.6775,3.5,0.25,1.05,D01
DD,25H,4.4275,3.5,4.4275,3.5,0.25,1.05,D01
DD,26H,4.1775,3.5,4.1775,3.5,0.25,1.05,D01
DD,27H,3.9275,3.5,3.9275,3.5,0.25,1.05,D01
DD,28H,3.6775,3.5,3.6775,3.5,0.25,1.05,D01
DD,31H,2.9275,3.5,2.9275,3.5,0.25,1.05,D01
DD,32H,2.6775,3.5,2.6775,3.5,0.25,1.05,D01
DD,33H,2.4275,3.5,2.4275,3.5,0.25,1.05,D01
DD,34H,2.1775,3.5,2.1775,3.5,0.25,1.05,D01
DD,35H,1.9275,3.5,1.9275,3.5,0.25,1.05,D01
DD,36H,1.6775,3.5,1.6775,3.5,0.25,1.05,D01
DD,37H,1.4275,3.5,1.4275,3.5,0.25,1.05,D01
DD,38H,1.1775,3.5,1.1775,3.5,0.25,1.05,D01
DD,39H,0.9275,3.5,0.9275,3.5,0.25,1.05,D01
DD,40H,0.6775,3.5,0.6775,3.5,0.25,1.05,D01
DD,40I,0.6775,2.45,0.6775,2.45,0.25,1.05,D01
DD,39I,0.9275,2.45,0.9275,2.45,0.25,1.05,D01
DD,38I,1.1775,2.45,1.1775,2.45,0.25,1.05,D01
DD,37I,1.4275,2.45,1.4275,2.45,0.25,1.05,D01
DD,36I,1.6775,2.45,1.6775,2.45,0.25,1.05,D01
DD,35I,1.9275,2.45,1.9275,2.45,0.25,1.05,D01
DD,34I,2.1775,2.45,2.1775,2.45,0.25,1.05,D01
DD,33I,2.4275,2.45,2.4275,2.45,0.25,1.05,D01
DD,32I,2.6775,2.45,2.6775,2.45,0.25,1.05,D01
DD,31I,2.9275,2.45,2.9275,2.45,0.25,1.05,D01
DD,28I,3.6775,2.45,3.6775,2.45,0.25,1.05,D01
DD,27I,3.9275,2.45,3.9275,2.45,0.25,1.05,D01
DD,26I,4.1775,2.45,4.1775,2.45,0.25,1.05,D01
DD,25I,4.4275,2.45,4.4275,2.45,0.25,1.05,D01
DD,24I,4.6775,2.45,4.6775,2.45,0.25,1.05,D01
DD,23I,4.9275,2.45,4.9275,2.45,0.25,1.05,D01
DD,22I,5.1775,2.45,5.1775,2.45,0.25,1.05,D01
DD,21I,5.4275,2.45,5.4275,2.45,0.25,1.05,D01
DD,20I,5.6775,2.45,5.6775,2.45,0.25,1.05,D01
DD,19I,5.9275,2.45,5.9275,2.45,0.25,1.05,D01
DD,16I,6.6775,2.45,6.6775,2.45,0.25,1.05,D01
DD,15I,6.9275,2.45,6.9275,2.45,0.25,1.05,D01
DD,14I,7.1775,2.45,7.1775,2.45,0.25,1.05,D01
DD,13I,7.4275,2.45,7.4275,2.45,0.25,1.05,D01
DD,12I,7.6775,2.45,7.6775,2.45,0.25,1.05,D01
DD,11I,7.9275,2.45,7.9275,2.45,0.25,1.05,D01
DD,11J,7.9275,1.4,7.9275,1.4,0.25,1.05,D01
DD,12J,7.6775,1.4,7.6775,1.4,0.25,1.05,D01
DD,13J,7.4275,1.4,7.4275,1.4,0.25,1.05,D01
DD,14J,7.1775,1.4,7.1775,1.4,0.25,1.05,D01
DD,15J,6.9275,1.4,6.9275,1.4,0.25,1.05,D01
DD,16J,6.6775,1.4,6.6775,1.4,0.25,1.05,D01
DD,19J,5.9275,1.4,5.9275,1.4,0.25,1.05,D01
DD,20J,5.6775,1.4,5.6775,1.4,0.25,1.05,D01
DD,21J,5.4275,1.4,5.4275,1.4,0.25,1.05,D01
DD,22J,5.1775,1.4,5.1775,1.4,0.25,1.05,D01
DD,23J,4.9275,1.4,4.9275,1.4,0.25,1.05,D01
DD,24J,4.6775,1.4,4.6775,1.4,0.25,1.05,D01
DD,25J,4.4275,1.4,4.4275,1.4,0.25,1.05,D01
DD,26J,4.1775,1.4,4.1775,1.4,0.25,1.05,D01
DD,27J,3.9275,1.4,3.9275,1.4,0.25,1.05,D01
DD,28J,3.6775,1.4,3.6775,1.4,0.25,1.05,D01
DD,31J,2.9275,1.4,2.9275,1.4,0.25,1.05,D01
DD,32J,2.6775,1.4,2.6775,1.4,0.25,1.05,D01
DD,33J,2.4275,1.4,2.4275,1.4,0.25,1.05,D01
DD,34J,2.1775,1.4,2.1775,1.4,0.25,1.05,D01
DD,35J,1.9275,1.4,1.9275,1.4,0.25,1.05,D01
DD,36J,1.6775,1.4,1.6775,1.4,0.25,1.05,D01
DD,37J,1.4275,1.4,1.4275,1.4,0.25,1.05,D01
DD,38J,1.1775,1.4,1.1775,1.4,0.25,1.05,D01
DD,39J,0.9275,1.4,0.9275,1.4,0.25,1.05,D01
DD,40J,0.6775,1.4,0.6775,1.4,0.25,1.05,D01
