ID_PROJECT,a
ID_BATCH,a
ID_WAFER,a
WAFER_ROTATION,a
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,a
LINES_DATA,2808
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
EC,42A,-10.3225,20.85,-10.3225,20.85,0.25,1.05,D01
EC,41A,-10.0725,20.85,-10.0725,20.85,0.25,1.05,D01
EC,40A,-9.8225,20.85,-9.8225,20.85,0.25,1.05,D01
EC,39A,-9.5725,20.85,-9.5725,20.85,0.25,1.05,D01
EC,38A,-9.3225,20.85,-9.3225,20.85,0.25,1.05,D01
EC,37A,-9.0725,20.85,-9.0725,20.85,0.25,1.05,D01
EC,36A,-8.8225,20.85,-8.8225,20.85,0.25,1.05,D01
EC,35A,-8.5725,20.85,-8.5725,20.85,0.25,1.05,D01
EC,34A,-8.3225,20.85,-8.3225,20.85,0.25,1.05,D01
EC,33A,-8.0725,20.85,-8.0725,20.85,0.25,1.05,D01
EC,32A,-7.8225,20.85,-7.8225,20.85,0.25,1.05,D01
EC,31A,-7.5725,20.85,-7.5725,20.85,0.25,1.05,D01
EC,30A,-7.3225,20.85,-7.3225,20.85,0.25,1.05,D01
EC,29A,-7.0725,20.85,-7.0725,20.85,0.25,1.05,D01
EC,28A,-6.8225,20.85,-6.8225,20.85,0.25,1.05,D01
EC,27A,-6.5725,20.85,-6.5725,20.85,0.25,1.05,D01
EC,26A,-6.3225,20.85,-6.3225,20.85,0.25,1.05,D01
EC,25A,-6.0725,20.85,-6.0725,20.85,0.25,1.05,D01
EC,24A,-5.8225,20.85,-5.8225,20.85,0.25,1.05,D01
EC,23A,-5.5725,20.85,-5.5725,20.85,0.25,1.05,D01
EC,22A,-5.3225,20.85,-5.3225,20.85,0.25,1.05,D01
EC,21A,-5.0725,20.85,-5.0725,20.85,0.25,1.05,D01
EC,20A,-4.8225,20.85,-4.8225,20.85,0.25,1.05,D01
EC,19A,-4.5725,20.85,-4.5725,20.85,0.25,1.05,D01
EC,18A,-4.3225,20.85,-4.3225,20.85,0.25,1.05,D01
EC,17A,-4.0725,20.85,-4.0725,20.85,0.25,1.05,D01
EC,16A,-3.8225,20.85,-3.8225,20.85,0.25,1.05,D01
EC,15A,-3.5725,20.85,-3.5725,20.85,0.25,1.05,D01
EC,14A,-3.3225,20.85,-3.3225,20.85,0.25,1.05,D01
EC,13A,-3.0725,20.85,-3.0725,20.85,0.25,1.05,D01
EC,12A,-2.8225,20.85,-2.8225,20.85,0.25,1.05,D01
EC,11A,-2.5725,20.85,-2.5725,20.85,0.25,1.05,D01
EC,10A,-2.3225,20.85,-2.3225,20.85,0.25,1.05,D01
EC,09A,-2.0725,20.85,-2.0725,20.85,0.25,1.05,D01
EC,08A,-1.8225,20.85,-1.8225,20.85,0.25,1.05,D01
EC,07A,-1.5725,20.85,-1.5725,20.85,0.25,1.05,D01
EC,06A,-1.3225,20.85,-1.3225,20.85,0.25,1.05,D01
EC,05A,-1.0725,20.85,-1.0725,20.85,0.25,1.05,D01
EC,04A,-0.8225,20.85,-0.8225,20.85,0.25,1.05,D01
DC,42A,0.1775,20.85,0.1775,20.85,0.25,1.05,D01
DC,41A,0.4275,20.85,0.4275,20.85,0.25,1.05,D01
DC,40A,0.6775,20.85,0.6775,20.85,0.25,1.05,D01
DC,39A,0.9275,20.85,0.9275,20.85,0.25,1.05,D01
DC,38A,1.1775,20.85,1.1775,20.85,0.25,1.05,D01
