ID_PROJECT,a
ID_BATCH,a
ID_WAFER,a
WAFER_ROTATION,a
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,a
LINES_DATA,a
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
DD,01A,-10.35,10.4275,-10.35,10.4275,0.25,0.25,TS-Pads-85
DD,01A,-10.1,10.4275,-10.1,10.4275,0.25,0.25,TS-Pads-85
DD,01A,-9.85,10.4275,-9.85,10.4275,0.25,0.25,TS-Pads-85
DD,01A,-9.6,10.4275,-9.6,10.4275,0.25,0.25,TS-Pads-85
DD,01B,-9.3,10.4275,-9.3,10.4275,0.25,0.25,TS-Pads-125
DD,01B,-9.05,10.4275,-9.05,10.4275,0.25,0.25,TS-Pads-125
DD,01B,-8.8,10.4275,-8.8,10.4275,0.25,0.25,TS-Pads-125
DD,01B,-8.55,10.4275,-8.55,10.4275,0.25,0.25,TS-Pads-125
DD,01C,-8.25,10.4275,-8.25,10.4275,0.25,0.25,TS-C1
DD,01C,-8.0,10.4275,-8.0,10.4275,0.25,0.25,TS-C1
DD,01C,-7.75,10.4275,-7.75,10.4275,0.25,0.25,TS-C1
DD,01C,-7.5,10.4275,-7.5,10.4275,0.25,0.25,TS-C1
DD,01D,-7.2,10.4275,-7.2,10.4275,0.25,0.25,TS-C3
DD,01D,-6.95,10.4275,-6.95,10.4275,0.25,0.25,TS-C3
DD,01D,-6.7,10.4275,-6.7,10.4275,0.25,0.25,TS-C3
DD,01D,-6.45,10.4275,-6.45,10.4275,0.25,0.25,TS-C3
DD,01E,-6.15,10.4275,-6.15,10.4275,0.25,0.25,TS-C4
DD,01E,-5.9,10.4275,-5.9,10.4275,0.25,0.25,TS-C4
DD,01E,-5.65,10.4275,-5.65,10.4275,0.25,0.25,TS-C4
DD,01E,-5.4,10.4275,-5.4,10.4275,0.25,0.25,TS-C4
DD,01F,-5.1,10.4275,-5.1,10.4275,0.25,0.25,TS-RFN
DD,01F,-4.85,10.4275,-4.85,10.4275,0.25,0.25,TS-RFN
DD,01F,-4.6,10.4275,-4.6,10.4275,0.25,0.25,TS-RFN
DD,01F,-4.35,10.4275,-4.35,10.4275,0.25,0.25,TS-RFN
DD,02F,-4.35,10.1775,-4.35,10.1775,0.25,0.25,TS-RFR
DD,02F,-4.6,10.1775,-4.6,10.1775,0.25,0.25,TS-RFR
DD,02F,-4.85,10.1775,-4.85,10.1775,0.25,0.25,TS-RFR
DD,02F,-5.1,10.1775,-5.1,10.1775,0.25,0.25,TS-RFR
DD,02E,-5.4,10.1775,-5.4,10.1775,0.25,0.25,TS-RF
DD,02E,-5.65,10.1775,-5.65,10.1775,0.25,0.25,TS-RF
DD,02E,-5.9,10.1775,-5.9,10.1775,0.25,0.25,TS-RF
DD,02E,-6.15,10.1775,-6.15,10.1775,0.25,0.25,TS-RF
DD,02D,-6.45,10.1775,-6.45,10.1775,0.25,0.25,TS-L4
DD,02D,-6.7,10.1775,-6.7,10.1775,0.25,0.25,TS-L4
DD,02D,-6.95,10.1775,-6.95,10.1775,0.25,0.25,TS-L4
DD,02D,-7.2,10.1775,-7.2,10.1775,0.25,0.25,TS-L4
DD,02C,-7.5,10.1775,-7.5,10.1775,0.25,0.25,TS-L3
DD,02C,-7.75,10.1775,-7.75,10.1775,0.25,0.25,TS-L3
DD,02C,-8.0,10.1775,-8.0,10.1775,0.25,0.25,TS-L3
DD,02C,-8.25,10.1775,-8.25,10.1775,0.25,0.25,TS-L3
DD,02B,-8.55,10.1775,-8.55,10.1775,0.25,0.25,TS-L2
DD,02B,-8.8,10.1775,-8.8,10.1775,0.25,0.25,TS-L2
DD,02B,-9.05,10.1775,-9.05,10.1775,0.25,0.25,TS-L2
DD,02B,-9.3,10.1775,-9.3,10.1775,0.25,0.25,TS-L2
DD,02A,-9.6,10.1775,-9.6,10.1775,0.25,0.25,TS-L1
DD,02A,-9.85,10.1775,-9.85,10.1775,0.25,0.25,TS-L1
DD,02A,-10.1,10.1775,-10.1,10.1775,0.25,0.25,TS-L1
DD,02A,-10.35,10.1775,-10.35,10.1775,0.25,0.25,TS-L1
DD,03A,-10.35,9.9275,-10.35,9.9275,0.25,0.25,
DD,03A,-10.1,9.9275,-10.1,9.9275,0.25,0.25,
DD,03A,-9.85,9.9275,-9.85,9.9275,0.25,0.25,
DD,03A,-9.6,9.9275,-9.6,9.9275,0.25,0.25,
DD,03B,-9.3,9.9275,-9.3,9.9275,0.25,0.25,
DD,03B,-9.05,9.9275,-9.05,9.9275,0.25,0.25,
DD,03B,-8.8,9.9275,-8.8,9.9275,0.25,0.25,
